student_id,gender,age,department,cgpa,backlogs,attendance_percentage,programming_skills,dsa_skills,core_subjects,projects_completed,internships,certifications,communication_skills,leadership,teamwork,hackathons,extracurricular_score,aptitude_score,interview_score,resume_score,mock_interview_score,placement_status,package_lpa
53,Male,23,Mechanical,6.42,0,79.11,3,5,7,0,0,4,9,9,6,1,8,70,83,5,5,1,7.67
54,Female,20,EEE,6.68,2,67.25,10,3,3,2,2,3,6,10,8,0,7,37,80,8,6,1,12.2
55,Male,21,CSE,7.09,4,70.84,1,7,5,2,0,1,9,10,9,1,4,52,86,1,7,0,0.0
56,Female,21,CSE,5.02,5,76.76,5,7,8,3,3,3,3,8,4,3,8,57,85,1,3,0,0.0
57,Female,24,IT,7.36,5,74.58,4,1,5,5,1,2,9,2,6,1,5,80,36,8,3,1,5.23
58,Male,22,Civil,6.23,1,73.95,2,6,2,0,1,4,4,2,1,1,1,82,78,5,8,0,0.0
59,Male,22,IT,5.27,3,65.27,8,3,10,2,0,4,7,6,5,3,4,70,55,7,6,1,11.47
60,Male,20,Civil,9.37,2,96.53,9,7,2,3,3,2,1,9,2,3,4,56,64,6,7,1,11.17
61,Male,23,Mechanical,6.55,4,61.19,6,5,1,0,3,0,10,3,9,2,1,76,57,10,7,1,10.48
62,Male,20,IT,7.05,2,77.6,8,4,6,1,2,1,3,2,6,2,10,44,82,1,6,0,0.0
63,Male,21,Mechanical,8.97,3,99.21,2,10,1,2,1,3,4,3,10,4,3,33,58,6,3,0,0.0
64,Male,21,ECE,5.8,2,86.39,6,7,8,5,1,1,8,6,8,1,6,65,48,6,6,1,4.5
65,Male,22,ECE,9.08,4,74.22,1,7,1,2,0,2,1,4,7,4,9,35,58,1,10,0,0.0
66,Female,23,Civil,6.16,2,65.84,10,8,8,1,1,1,7,2,6,3,6,51,96,10,5,1,6.04
67,Female,24,Civil,7.83,0,98.55,3,5,6,3,3,0,4,5,8,1,2,97,38,5,3,1,11.42
68,Male,23,IT,8.29,0,60.56,7,4,9,2,2,5,3,8,3,1,2,89,77,6,6,1,10.87
69,Female,21,ECE,9.34,3,87.26,1,1,3,1,3,5,8,5,10,1,10,55,84,9,5,1,6.03
70,Female,24,EEE,7.92,4,95.21,6,4,7,3,2,1,5,5,1,3,1,40,73,2,2,0,0.0
71,Female,23,EEE,7.18,4,61.01,7,10,2,4,1,3,6,6,7,0,4,79,77,4,10,1,13.73
72,Female,23,EEE,7.75,4,89.01,3,1,5,3,0,2,2,9,10,4,1,37,54,5,10,0,0.0
73,Male,24,ECE,5.97,4,99.95,8,7,1,2,2,0,1,1,5,2,7,97,67,5,3,1,8.03
74,Female,21,EEE,8.31,4,85.59,8,6,5,3,2,0,7,2,2,2,9,74,82,1,8,1,10.18
75,Male,23,Mechanical,5.9,1,76.59,5,7,8,5,2,0,8,8,4,0,8,74,50,5,5,1,7.0
76,Female,24,CSE,7.67,2,94.98,2,8,10,2,1,4,3,8,10,1,7,94,83,10,3,0,0.0
77,Female,21,Civil,8.11,5,82.17,2,6,3,3,3,1,6,5,10,2,2,45,81,7,8,0,0.0
78,Female,24,IT,9.31,4,89.98,5,2,6,4,2,3,1,5,2,3,2,75,38,9,10,0,0.0
79,Male,24,Mechanical,7.16,5,83.51,4,2,4,3,2,4,4,6,2,1,3,32,30,6,6,0,0.0
80,Female,23,EEE,8.72,0,61.53,4,9,8,4,3,3,2,8,5,3,8,89,99,4,5,1,4.69
81,Male,21,CSE,5.8,5,68.53,5,6,2,2,3,3,1,4,7,4,2,72,59,7,7,0,0.0
82,Female,23,IT,5.75,5,63.15,1,6,5,3,1,3,3,4,10,1,10,62,48,3,7,0,0.0
83,Male,20,Mechanical,7.52,2,64.27,7,1,6,1,1,3,2,1,6,3,2,44,70,3,1,0,0.0
84,Female,20,IT,7.86,5,60.62,3,8,8,5,1,1,5,10,1,0,4,54,93,7,6,0,0.0
85,Male,21,Civil,8.04,3,76.85,10,8,2,4,3,1,9,1,1,0,6,30,88,2,5,1,13.66
86,Male,24,ECE,8.58,3,67.15,10,4,9,0,0,3,8,7,10,2,2,93,52,3,10,1,9.25
87,Female,23,EEE,6.42,4,94.23,8,7,7,4,3,3,2,5,1,4,9,45,77,5,8,0,0.0
88,Male,23,Mechanical,7.99,1,90.0,9,9,10,3,3,0,7,5,3,1,9,85,57,8,1,1,12.14
89,Female,21,Mechanical,5.9,1,82.93,8,1,4,4,0,4,3,1,1,4,1,41,61,6,6,0,0.0
90,Female,21,CSE,6.05,2,79.56,2,5,10,3,1,1,6,2,10,4,1,37,51,8,2,0,0.0
91,Female,20,CSE,5.32,1,70.23,7,8,2,2,0,0,9,3,4,4,10,95,46,5,2,1,10.23
92,Female,22,CSE,8.59,5,79.0,4,7,8,2,2,2,3,5,5,1,9,70,84,7,3,0,0.0
93,Female,21,IT,7.43,3,85.65,5,10,2,5,3,0,10,2,1,4,1,89,84,9,8,1,7.67
94,Female,22,EEE,6.14,4,91.29,10,4,2,1,3,4,10,7,5,2,7,49,72,7,5,1,13.73
95,Female,21,IT,7.67,0,63.27,5,3,9,0,0,2,2,6,3,0,5,87,69,2,9,0,0.0
96,Female,24,EEE,6.7,5,88.34,9,1,4,5,0,3,2,10,1,1,10,81,53,1,2,1,3.62
97,Female,24,Mechanical,9.02,3,89.71,2,3,7,2,2,0,5,8,4,2,6,79,97,8,1,1,14.01
98,Female,20,IT,7.54,3,82.36,2,2,10,1,1,4,6,1,5,2,4,57,58,1,6,0,0.0
99,Female,20,IT,5.14,2,68.57,3,5,4,0,2,0,4,8,1,3,2,95,87,1,5,0,0.0
100,Male,22,IT,9.73,5,81.57,5,1,5,1,2,4,6,3,2,2,3,96,55,1,3,1,8.5
101,Male,21,ECE,5.36,1,80.11,4,4,1,2,3,0,4,8,6,4,10,66,83,4,7,0,0.0
102,Female,23,Civil,8.34,0,79.03,10,8,10,5,3,4,5,6,2,0,8,93,43,3,3,1,10.04
103,Female,20,EEE,7.1,0,78.43,10,9,1,0,3,3,7,3,2,4,2,58,51,2,4,1,4.16
104,Female,23,EEE,6.2,1,64.43,9,1,10,2,3,4,6,2,8,4,7,85,86,10,6,1,4.85
105,Female,23,IT,8.25,4,67.32,3,3,10,3,2,5,2,5,8,2,3,36,33,10,4,0,0.0
106,Female,21,ECE,5.6,1,63.89,1,6,3,5,3,1,9,1,10,1,2,73,92,3,10,1,4.51
107,Female,22,IT,9.12,4,69.7,5,5,6,0,1,0,10,3,4,1,10,88,81,6,4,1,6.57
108,Female,21,EEE,6.2,0,70.54,8,1,1,1,3,2,5,4,3,0,4,71,76,3,8,1,10.23
109,Female,20,Civil,6.73,5,69.8,1,2,4,3,0,2,9,6,2,3,9,47,79,2,7,0,0.0
110,Male,23,Civil,8.04,2,68.44,1,2,9,1,3,2,5,8,8,4,7,74,82,5,4,0,0.0
111,Female,21,Mechanical,5.0,3,89.42,6,7,2,2,3,4,3,10,2,1,9,87,84,5,1,1,9.24
112,Male,21,ECE,7.27,5,92.74,7,6,2,2,2,5,7,8,8,2,5,55,70,1,1,1,14.6
113,Female,21,Civil,9.29,0,73.08,8,6,2,3,2,2,8,6,1,4,1,42,85,2,8,1,12.02
114,Female,20,ECE,8.27,0,72.21,8,1,10,3,0,4,5,4,5,4,3,65,52,9,8,1,6.91
115,Male,22,IT,6.86,0,93.76,3,1,10,0,0,2,9,8,9,3,2,95,65,10,10,1,11.95
116,Female,21,Mechanical,8.17,3,84.96,4,4,7,1,2,2,3,10,6,4,9,62,93,4,10,0,0.0
117,Male,20,EEE,9.5,4,71.74,9,10,7,4,2,5,8,1,7,3,2,57,51,5,10,1,11.02
118,Female,23,Civil,5.9,2,88.54,5,6,6,2,3,3,2,4,1,1,7,75,86,9,9,0,0.0
119,Female,24,Civil,7.55,5,73.78,9,6,2,4,2,3,10,2,8,1,5,52,34,8,4,1,4.13
120,Male,20,CSE,6.13,5,83.46,5,5,5,4,0,3,1,10,6,4,2,52,83,5,9,0,0.0
121,Female,24,EEE,9.1,2,99.71,5,4,6,3,2,0,7,9,1,4,3,73,69,2,3,1,5.38
122,Male,21,Civil,8.46,2,72.06,9,2,6,1,1,4,10,5,1,3,8,68,68,6,6,1,12.91
123,Female,21,Civil,8.85,4,97.22,6,7,10,4,0,4,5,6,6,2,2,82,58,4,3,1,10.35
124,Male,20,EEE,9.53,5,72.83,3,6,6,1,1,3,7,10,9,4,5,52,83,4,5,1,3.83
125,Male,24,Mechanical,6.12,1,81.61,5,7,6,3,0,5,3,3,10,3,5,82,73,8,10,0,0.0
126,Female,21,ECE,5.23,1,78.4,1,3,1,5,2,3,3,8,9,0,8,52,73,8,8,0,0.0
127,Female,23,EEE,6.4,2,91.33,9,1,4,5,0,2,1,4,3,3,5,78,48,10,9,0,0.0
128,Male,22,ECE,6.92,0,62.44,10,1,1,5,0,2,3,8,10,4,3,70,84,10,8,1,13.67
129,Female,22,Mechanical,8.0,0,85.08,10,4,3,5,2,2,1,4,3,4,3,80,60,4,8,1,7.93
130,Female,21,Mechanical,8.83,3,90.43,7,4,2,4,0,0,4,3,1,0,4,57,97,9,10,1,12.64
131,Female,24,IT,6.68,1,78.89,1,7,2,4,2,3,10,3,8,1,3,44,90,4,4,0,0.0
132,Male,21,CSE,7.27,0,64.21,4,7,6,2,3,3,5,3,8,1,1,50,71,1,7,0,0.0
133,Male,24,Mechanical,8.77,2,69.79,2,4,1,4,2,5,10,3,3,0,9,35,33,6,4,1,4.43
134,Male,23,Mechanical,6.08,3,87.19,3,7,4,0,0,5,9,5,7,4,8,37,80,8,9,0,0.0
135,Male,24,ECE,6.04,1,95.82,4,8,9,3,1,3,1,8,8,3,3,62,59,8,1,0,0.0
136,Male,21,Mechanical,7.83,3,76.86,2,9,3,0,2,2,8,4,6,2,1,50,55,8,3,0,0.0
137,Male,23,EEE,7.09,0,82.42,10,6,8,5,2,0,4,9,3,0,8,97,78,4,4,1,10.56
138,Male,20,IT,9.55,2,69.14,1,4,9,4,2,1,4,6,4,0,1,38,61,4,5,0,0.0
139,Male,22,IT,6.71,2,76.49,4,10,2,4,2,1,1,4,7,3,3,57,69,6,1,0,0.0
140,Male,21,EEE,8.65,2,73.47,9,2,5,0,1,2,8,4,7,2,2,67,59,7,8,1,14.48
141,Female,21,Civil,7.8,0,86.22,9,9,6,2,2,2,5,10,3,2,3,54,34,9,10,1,13.49
142,Male,21,Mechanical,5.26,4,99.39,9,7,5,2,1,5,3,4,6,4,9,50,31,2,4,0,0.0
143,Female,23,CSE,5.41,5,92.53,3,6,6,0,1,3,5,4,5,0,7,49,63,7,10,0,0.0
144,Female,20,Mechanical,5.98,5,67.69,1,4,5,0,2,4,7,2,8,3,7,45,60,1,9,0,0.0
145,Female,24,IT,5.69,2,83.11,1,4,7,3,0,2,9,6,9,1,9,31,59,4,9,0,0.0
146,Male,20,CSE,6.58,5,62.66,3,2,5,2,3,2,9,1,1,1,9,76,55,6,6,1,4.47
147,Male,23,Civil,7.78,4,69.88,10,1,5,5,1,1,7,10,4,1,2,65,83,2,2,1,3.49
148,Male,21,ECE,7.89,2,66.89,8,5,7,1,0,5,9,3,8,3,1,66,38,8,8,1,9.9
149,Male,22,ECE,7.82,4,73.42,4,6,3,5,3,2,9,5,1,1,7,40,43,4,2,1,9.41
150,Female,21,Mechanical,5.56,1,87.15,8,10,10,4,2,4,3,6,5,4,7,36,60,9,1,0,0.0
151,Male,24,Mechanical,7.88,5,79.98,7,9,7,4,0,3,5,8,4,2,8,70,37,9,9,1,9.25
152,Male,22,CSE,6.97,1,97.32,8,1,8,0,3,4,2,4,10,1,2,36,85,4,7,0,0.0
153,Male,21,CSE,9.33,2,68.51,2,5,5,5,0,0,10,4,2,3,1,82,92,10,9,1,12.21
154,Male,22,Civil,9.38,3,74.57,8,5,4,1,2,2,5,1,8,3,3,92,57,9,9,1,13.04
155,Male,20,Mechanical,8.69,3,73.19,9,9,2,2,3,2,7,10,7,1,3,89,52,3,8,1,6.87
156,Female,23,IT,8.37,0,69.44,10,4,5,2,0,4,5,8,5,2,10,70,52,8,10,1,14.45
157,Male,21,ECE,5.55,1,99.73,6,3,6,2,3,5,8,2,7,2,5,62,68,2,6,1,7.7
158,Female,24,Civil,5.41,1,75.49,3,3,9,5,2,0,10,6,8,4,8,37,82,7,5,0,0.0
159,Male,20,CSE,9.04,3,97.62,7,6,6,0,0,3,2,9,7,4,1,30,51,4,1,0,0.0
160,Female,21,IT,7.05,2,75.62,9,1,6,0,1,4,6,6,7,1,3,90,63,8,9,1,4.93
161,Male,20,Mechanical,7.17,0,68.16,8,1,6,4,3,5,10,1,8,4,6,61,35,3,3,1,8.15
162,Male,24,EEE,9.07,1,64.77,8,1,8,5,3,1,6,5,7,1,4,32,88,2,6,1,7.07
163,Female,21,CSE,7.98,0,94.22,7,7,6,4,3,0,4,8,2,4,10,98,33,10,4,1,12.55
164,Female,24,Civil,5.86,1,61.28,5,5,1,2,3,3,1,1,8,4,9,73,41,10,8,0,0.0
165,Female,22,EEE,6.01,4,98.58,2,9,1,4,3,0,6,1,8,3,2,43,34,9,2,0,0.0
166,Male,24,IT,5.03,4,76.73,5,3,10,4,3,1,9,10,7,0,3,79,99,1,8,1,4.07
167,Female,22,ECE,8.41,0,69.89,5,6,2,2,2,0,1,2,9,1,2,53,54,10,4,0,0.0
168,Male,21,IT,7.33,3,84.7,2,7,1,0,0,4,6,9,8,1,2,82,34,8,6,0,0.0
169,Male,22,ECE,9.56,3,65.32,10,3,3,4,1,4,4,5,3,1,10,53,88,4,6,1,5.66
170,Female,21,IT,8.43,1,62.89,1,9,3,0,3,0,9,4,3,3,4,38,45,6,3,1,7.5
171,Female,21,CSE,5.5,5,93.11,5,2,4,1,1,2,9,4,10,4,3,73,68,3,5,1,9.04
172,Male,23,CSE,5.78,4,76.99,6,7,6,0,0,0,7,5,3,1,8,69,89,6,2,1,14.4
173,Male,21,Civil,7.41,4,80.73,7,10,10,3,0,4,1,1,10,1,6,44,60,7,3,0,0.0
174,Female,22,EEE,9.44,0,67.07,2,4,7,3,0,3,3,4,8,4,1,59,81,9,8,0,0.0
175,Female,23,IT,6.19,5,62.46,6,9,9,2,1,0,1,3,10,2,6,71,96,7,3,0,0.0
176,Female,23,IT,8.96,0,74.71,8,7,8,3,2,1,5,6,8,1,3,42,71,9,8,1,14.62
177,Male,21,EEE,6.5,3,80.25,6,8,6,1,3,1,7,10,7,1,3,89,91,1,7,1,3.26
178,Male,24,Mechanical,6.3,3,90.62,3,10,9,0,0,3,5,7,6,0,4,50,35,6,8,0,0.0
179,Male,24,Civil,9.33,5,80.04,3,3,4,0,1,3,3,1,2,1,8,30,52,1,8,0,0.0
180,Male,23,IT,5.23,5,91.3,7,6,6,5,3,3,5,1,4,3,7,87,70,5,6,1,3.26
181,Male,21,Civil,8.17,3,64.62,2,4,7,4,3,3,9,2,4,2,3,45,90,6,8,1,13.41
182,Male,24,IT,5.21,2,62.56,3,4,2,4,0,0,3,10,3,2,1,58,35,8,6,0,0.0
183,Female,21,IT,8.84,4,66.35,7,2,1,4,1,3,10,5,2,4,6,64,79,4,6,1,12.41
184,Male,21,Mechanical,8.98,4,90.88,9,10,10,0,0,3,6,9,9,1,1,86,97,1,1,1,11.8
185,Male,23,CSE,9.29,0,90.37,1,9,8,0,0,2,2,4,6,2,5,56,86,3,6,0,0.0
186,Male,23,Civil,5.89,4,65.65,5,1,8,5,0,1,4,4,9,3,4,89,86,9,9,0,0.0
187,Female,20,EEE,5.6,0,61.24,2,1,7,4,0,0,7,9,3,0,6,87,64,6,4,0,0.0
188,Male,24,Civil,7.42,5,87.41,5,7,9,5,3,4,9,10,8,0,2,36,92,1,2,1,3.7
189,Male,24,Mechanical,6.3,5,94.21,6,10,9,0,3,5,4,1,5,0,2,77,64,8,7,1,8.02
190,Female,24,ECE,7.91,2,90.16,8,7,3,1,3,5,10,3,1,2,5,69,46,5,8,1,12.96
191,Male,22,ECE,7.47,5,68.11,7,4,1,4,0,2,3,10,10,3,1,39,67,10,10,0,0.0
192,Male,21,Mechanical,5.7,3,83.35,5,8,9,3,3,2,7,7,5,0,3,51,71,5,10,1,11.94
193,Male,23,Mechanical,8.55,2,90.29,5,5,1,4,2,4,2,6,2,2,10,62,71,6,1,0,0.0
194,Male,24,CSE,8.86,3,70.23,2,6,1,3,1,2,4,5,3,3,6,92,54,6,6,1,4.53
195,Male,20,Civil,9.62,3,81.11,6,4,5,2,0,0,5,7,6,4,1,50,88,2,4,1,14.06
196,Female,24,Civil,6.9,0,72.58,3,3,2,3,0,1,3,2,10,2,2,67,58,1,6,0,0.0
197,Female,21,ECE,6.62,3,69.02,6,2,2,5,3,3,5,2,1,2,2,78,35,2,3,1,11.96
198,Female,21,EEE,5.92,2,98.78,3,8,5,1,0,2,2,7,2,0,10,61,43,1,9,0,0.0
199,Male,23,Civil,5.87,1,96.5,2,5,7,0,1,5,8,8,1,4,9,99,73,9,4,1,9.99
200,Male,22,IT,6.54,5,77.83,8,10,6,5,3,0,5,2,10,0,7,62,77,1,7,1,10.71
201,Male,23,IT,9.71,0,65.47,4,6,5,5,1,2,8,1,5,1,2,59,64,9,2,1,6.9
202,Female,24,CSE,5.44,5,89.12,5,6,3,1,2,0,3,5,10,4,1,56,99,4,8,0,0.0
203,Male,20,CSE,6.24,3,70.23,9,4,9,2,1,2,2,1,2,3,1,55,85,3,6,0,0.0
204,Male,23,ECE,5.41,3,66.74,4,9,8,5,3,0,9,10,2,3,9,85,37,9,8,1,6.05
205,Female,22,EEE,6.31,4,75.26,1,7,3,1,0,3,5,10,10,1,5,92,59,6,7,0,0.0
206,Male,23,EEE,5.44,0,81.19,6,10,7,1,1,0,8,9,5,2,8,88,57,7,4,1,8.83
207,Female,21,Mechanical,7.44,0,63.9,5,8,3,2,0,4,10,5,10,2,5,57,56,2,7,1,4.09
208,Female,24,CSE,7.1,2,82.87,10,7,6,1,2,2,5,8,7,4,2,33,74,3,10,1,12.55
209,Female,24,Civil,5.84,1,60.61,3,4,3,2,2,3,6,4,4,0,1,50,45,5,3,0,0.0
210,Male,24,IT,5.84,2,95.67,5,9,8,0,2,5,2,1,4,0,7,41,43,3,7,0,0.0
211,Male,24,Civil,8.01,2,96.83,8,2,3,4,2,2,1,9,10,0,7,30,92,3,6,0,0.0
212,Male,24,IT,6.86,2,89.32,1,5,5,0,0,0,2,4,1,3,9,82,89,9,8,0,0.0
213,Male,24,ECE,5.27,1,78.66,4,2,3,0,1,2,2,3,1,1,6,85,86,1,7,0,0.0
214,Male,20,IT,9.42,2,70.2,3,8,8,0,3,5,9,2,2,0,6,41,89,1,8,1,13.87
215,Male,22,Civil,6.94,5,89.76,4,9,10,1,0,1,7,1,4,4,1,99,80,6,4,1,9.49
216,Male,24,Civil,7.84,0,97.27,2,3,9,0,2,5,5,9,3,1,2,83,94,2,5,1,14.74
217,Female,22,EEE,9.25,1,66.34,2,5,6,2,0,0,9,1,8,2,3,57,75,7,7,1,14.17
218,Male,24,EEE,6.93,3,78.63,2,9,10,2,2,5,8,4,1,4,1,85,51,1,3,1,14.17
219,Female,23,CSE,8.94,4,72.61,3,6,4,5,1,5,10,2,6,0,10,71,53,5,5,1,5.26
220,Male,24,Civil,9.39,4,74.27,9,3,10,5,1,0,7,8,6,1,5,90,79,8,2,1,7.7
221,Male,21,ECE,5.84,5,76.23,5,6,4,2,3,2,5,5,8,1,10,53,95,9,3,0,0.0
222,Male,20,IT,9.28,0,98.07,4,9,5,5,2,3,8,3,5,2,8,55,35,3,4,1,12.94
223,Female,23,CSE,5.58,4,70.35,4,10,3,2,1,4,10,4,1,1,6,76,30,2,10,1,9.7
224,Female,23,Mechanical,6.32,5,79.71,3,7,4,5,1,3,5,3,7,2,8,51,66,7,6,0,0.0
225,Female,21,Mechanical,8.88,5,98.06,9,4,4,0,1,4,5,10,3,3,8,77,30,3,3,1,12.09
226,Female,24,IT,9.32,4,79.04,10,4,1,3,1,5,5,2,3,0,9,69,54,3,5,1,14.14
227,Male,20,IT,8.28,4,94.54,1,1,1,5,3,1,2,6,9,4,8,41,79,2,1,0,0.0
228,Female,23,IT,5.5,5,62.35,6,3,9,4,0,4,9,6,2,2,5,93,86,7,10,1,9.61
229,Male,20,EEE,7.51,5,98.12,4,9,3,3,3,3,10,3,1,4,6,38,95,9,4,1,9.26
230,Male,23,IT,7.75,3,67.5,8,1,5,1,1,4,6,5,4,2,6,66,70,2,6,1,14.86
231,Female,24,Mechanical,6.35,4,99.2,7,2,2,0,0,4,2,9,9,4,9,47,35,2,10,0,0.0
232,Female,23,IT,9.76,2,67.02,3,2,1,3,2,1,1,10,2,2,6,69,73,2,6,0,0.0
233,Female,23,Civil,6.61,5,77.77,5,8,7,0,3,4,4,1,10,0,3,64,97,4,9,1,5.59
234,Female,22,ECE,6.01,0,72.34,4,6,10,2,0,2,4,7,9,1,4,49,67,1,6,0,0.0
235,Female,24,Mechanical,5.53,0,77.33,4,7,9,1,3,5,5,1,3,1,10,90,45,6,4,1,12.79
236,Female,21,ECE,6.82,5,70.02,10,4,4,3,3,1,4,6,8,1,3,41,71,9,1,1,4.36
237,Female,21,Mechanical,8.32,0,98.61,8,4,4,4,1,1,1,5,8,2,8,90,87,1,1,1,12.62
238,Female,24,CSE,6.11,3,72.23,9,4,3,2,0,2,2,4,1,2,7,88,76,3,9,1,14.68
239,Male,21,Civil,8.69,3,86.13,4,6,3,5,2,1,6,3,6,2,8,73,94,4,10,1,10.29
240,Female,24,Mechanical,5.65,5,65.5,2,4,2,2,0,1,10,10,8,3,6,66,49,3,9,0,0.0
